state,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,weight
Idaho,123231.11346617482,82.90492777974458,0.6003119567736261,11.959097098532972,17.095072220255425,5.975971624284694,49.871383560697346,42.48598120555212,14.267711740201516,49496.78576237112,6.242502237954065,10.104976425742564,73.72184469444032,6.90659255466788,72.1385187591018,28.75179596582362,3.5538596243433895,0.10625559819932319
Illinois,1575471.309796833,62.22418789630992,14.088107052741103,16.624078214185793,37.77581210369008,13.940336534885233,50.89779674010038,39.88119377974124,13.882204075356974,60574.04584994464,8.174083952585,11.663706323907208,66.96281386540744,6.222570576556817,60.43009636184899,11.33125473566352,1.7727315735432025,0.1821098381292452
Indiana,192286.4789384085,80.1975483103774,9.099657064534334,6.518201924311389,19.802451689622604,4.922439646362788,50.7506854004915,40.58246218498361,14.269851574713883,51379.54813540412,6.931722860596845,11.924576393388746,75.15178117979166,10.094953886344957,73.71275622245358,27.20515398563562,2.521481496994193,0.041066813826312616
Iowa,93920.68784766829,86.96354747924492,3.2402097606088214,5.5593771818544395,13.036452520755077,4.866012208245119,50.33176258591014,39.909849677572424,15.79806662548538,55214.43719590844,4.543619758550057,8.22601235396623,72.39234189336892,6.315781602645046,71.52431464216001,35.32559986077673,3.9717896380885915,0.041915543568391264
Kansas,169772.76648798672,76.83984222431695,5.628176871067511,11.308004852513127,23.160157775683043,6.927148817303432,50.249595278874594,41.776294452042784,14.336961217158235,55357.44023273017,5.358105244431785,9.774961364494455,68.3138341365737,6.424813051301091,65.9562692431551,25.24364192011586,3.169971141624101,0.08359373539754426
Kentucky,143584.18272121713,85.36616931728524,7.835808294172992,3.330584006442447,14.633830682714754,3.493730378747545,50.75361701944406,39.10481191136243,14.800580871801813,45959.04965084908,7.7888546815896404,15.271051530153342,77.13514763067177,14.35436764054684,75.95886167111875,41.043288691431954,3.711438763786582,0.04399249922302592
Louisiana,149414.3196159004,59.294848751633246,31.941700551266027,4.808951130837964,40.705151248366754,4.037738367124655,51.10104678119626,41.31373946061602,13.64119707168181,46248.25819978604,7.743020088777123,16.15209830783605,77.02375516092172,11.474245035261415,70.95152367180727,26.394531633702425,2.5263195620868464,0.04356916456413104
Maine,114979.49805364672,93.73520121089716,1.1633756240022914,1.4867026136099624,6.2647987891028265,3.582989391115124,51.02393146069358,33.843087156173695,18.215415478941246,51456.52929079353,6.0676166876256135,8.081251582791264,70.67950245286679,7.695524218937647,70.49662997739685,61.10924714170267,3.838221460941724,0.10984149546093622
Maryland,412429.4772565052,52.49062820160466,29.17192262557337,9.23078936532848,47.50937179839535,14.67024122208722,51.5640693420798,38.96084197357607,13.759454433982308,78895.88525683811,6.757166136153034,10.393872434151723,61.623331159776484,6.833868069734403,53.88404706239804,12.675310631739336,1.2445087184319474,0.10101397882182565
Massachusetts,598378.1843606699,73.71559754813862,6.5733105927892685,10.85321091528318,26.284402451861382,15.743673784433227,51.50842988646192,38.14008394660274,15.079463606749364,72391.20803370679,6.803294252714317,9.983350328629543,58.838194335763845,6.577974813881335,55.106727368789066,7.91997573751996,1.3721312348314179,0.12442859074447932
