poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
74163,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/6/21,1/8/21,,"",,139102,2200,a,,a,,1/11/21 08:45,"",https://assets.morningconsult.com/wp-uploads/2021/01/08160937/210116_crosstabs_MC_FINANCE_BITCOIN_Adults_v1-2.pdf,,,https://assets.morningconsult.com/wp-uploads/2021/01/08160937/210116_crosstabs_MC_FINANCE_BITCOIN_Adults_v1-2.pdf,538,,,11,Donald Trump,38.0,57.0,0
74212,770,TIPP,375,Investor's Business Daily,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Opt-In Panel,,,1/6/21,1/8/21,,"",,139260,1163,rv,,rv,,1/17/21 13:37,"",https://projects.fivethirtyeight.com/polls/20210117_US_IBD.pdf,,,,538,,,11,Donald Trump,42.0,52.0,6.0
74196,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/2/21,1/8/21,,"",,139205,31920,rv,,rv,TRUE,1/14/21 10:01,"",https://morningconsult.com/form/global-leader-approval/#section-61,,,,538,,,11,Donald Trump,40.0,55.0,0
74160,1205,Marist,765,PBS NewsHour,Marist College,183,Marist College,2.9,-0.9,Live Phone,,,1/7/21,1/7/21,,"",,139092,875,a,,a,,1/8/21 18:49,"",http://maristpoll.marist.edu/wp-content/uploads/2021/01/PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_202101081001.pdf#page=3,,,,538,false,,11,Donald Trump,38.0,58.0,3.0
74160,1205,Marist,765,PBS NewsHour,Marist College,183,Marist College,2.9,-0.9,Live Phone,,,1/7/21,1/7/21,,"",,139093,831,rv,,rv,,1/8/21 18:49,"",http://maristpoll.marist.edu/wp-content/uploads/2021/01/PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_202101081001.pdf#page=3,,,,538,false,,11,Donald Trump,39.0,58.0,3.0
74108,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/6/21,1/7/21,,"",,138995,1986,rv,,rv,,1/7/21 14:36,"",https://assets.morningconsult.com/wp-uploads/2021/01/07135439/210121_crosstabs_POLITICO_RVs_v1.pdf,,,https://assets.morningconsult.com/wp-uploads/2021/01/07135439/210121_crosstabs_POLITICO_RVs_v1.pdf,538,,,11,Donald Trump,38.0,60.0,2.0
74111,399,Rasmussen,1585,SLANTED,Rasmussen Reports,277,Rasmussen Reports,2.1,-0.5,IVR/Online Opt-In Panel,,,1/5/21,1/7/21,,"",,139016,1500,lv,,lv,TRUE,1/8/21 09:18,"",https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,,,,538,,,11,Donald Trump,48.0,50.0,0
74195,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/1/21,1/7/21,,"",,139204,31920,rv,,rv,TRUE,1/14/21 10:01,"",https://morningconsult.com/form/global-leader-approval/#section-61,,,,538,,,11,Donald Trump,41.0,53.0,0
74065,399,Rasmussen,1585,SLANTED,Rasmussen Reports,277,Rasmussen Reports,2.1,-0.5,IVR/Online Opt-In Panel,,,1/4/21,1/6/21,,"",,138937,1500,lv,,lv,TRUE,1/7/21 09:13,"",https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,,,,538,,,11,Donald Trump,49.0,50.0,0
74194,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,12/31/20,1/6/21,,"",,139203,31920,rv,,rv,TRUE,1/14/21 10:01,"",https://morningconsult.com/form/global-leader-approval/#section-61,,,,538,,,11,Donald Trump,41.0,53.0,0
