poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
89551,143,EPIC-MRA,"","",EPIC-MRA,84,EPIC-MRA,1.9,-0.7,Live Phone,3.0,Michigan,2/3/25,2/8/25,,"",,,,,218112,600,lv,,lv,,2/11/25 11:07,"",https://www.wlns.com/news/poll-rogers-leads-buttigieg-in-hypothetical-senate-race/,https://www.wlns.com/news/poll-rogers-leads-buttigieg-in-hypothetical-senate-race/,https://ssl2002.webhosting.comcast.net/epic-mra/press/Stwd_Survey_Feb2025_Media_Freq.pdf,https://www.wlns.com/wp-content/uploads/sites/50/2025/02/Statewide_Feb2025_Media_Xtabs_450c39.pdf,"",false,,16100,2026,U.S. Senate,2,Class II,11/3/26,general,false,false,,true,DEM,Buttigieg,37851,Pete Buttigieg,41.0
89551,143,EPIC-MRA,"","",EPIC-MRA,84,EPIC-MRA,1.9,-0.7,Live Phone,3.0,Michigan,2/3/25,2/8/25,,"",,,,,218112,600,lv,,lv,,2/11/25 11:07,"",https://www.wlns.com/news/poll-rogers-leads-buttigieg-in-hypothetical-senate-race/,https://www.wlns.com/news/poll-rogers-leads-buttigieg-in-hypothetical-senate-race/,https://ssl2002.webhosting.comcast.net/epic-mra/press/Stwd_Survey_Feb2025_Media_Freq.pdf,https://www.wlns.com/wp-content/uploads/sites/50/2025/02/Statewide_Feb2025_Media_Xtabs_450c39.pdf,"",false,,16100,2026,U.S. Senate,2,Class II,11/3/26,general,false,false,,true,REP,Rogers,37852,Mike Rogers,47.0
89562,1571,The Tyson Group,"","",The Tyson Group,334,The Tyson Group,1.1,0.1,,3.5,Georgia,1/30/25,1/31/25,,"",,,,,218233,600,lv,,lv,,2/12/25 12:06,"",https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,,,"",,,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Ossoff,37817,Jon Ossoff,42.0
89562,1571,The Tyson Group,"","",The Tyson Group,334,The Tyson Group,1.1,0.1,,3.5,Georgia,1/30/25,1/31/25,,"",,,,,218233,600,lv,,lv,,2/12/25 12:06,"",https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,,,"",,,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Kemp,37818,Brian Kemp,49.0
89562,1571,The Tyson Group,"","",The Tyson Group,334,The Tyson Group,1.1,0.1,,3.5,Georgia,1/30/25,1/31/25,,"",,,,,218234,600,lv,,lv,,2/12/25 12:06,"",https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,,,"",,,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Ossoff,37817,Jon Ossoff,47.0
89562,1571,The Tyson Group,"","",The Tyson Group,334,The Tyson Group,1.1,0.1,,3.5,Georgia,1/30/25,1/31/25,,"",,,,,218234,600,lv,,lv,,2/12/25 12:06,"",https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,,,"",,,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Carter,37819,"Earl L. ""Buddy"" Carter",39.0
89562,1571,The Tyson Group,"","",The Tyson Group,334,The Tyson Group,1.1,0.1,,3.5,Georgia,1/30/25,1/31/25,,"",,,,,218235,600,lv,,lv,,2/12/25 12:06,"",https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,,,"",,,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Ossoff,37817,Jon Ossoff,51.0
89562,1571,The Tyson Group,"","",The Tyson Group,334,The Tyson Group,1.1,0.1,,3.5,Georgia,1/30/25,1/31/25,,"",,,,,218235,600,lv,,lv,,2/12/25 12:06,"",https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,https://dailycaller.com/2025/02/11/exclusive-early-polling-senate-race-democrats-kemp-offoff/,,,"",,,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Greene,37858,Marjorie Taylor Greene,39.0
89490,1418,WPAi,1072,Club For Growth Action,WPA Intelligence,383,WPA Intelligence,1.7,-0.1,,3.0,Georgia,1/14/25,1/15/25,,"",,,,,217588,500,lv,,lv,,1/16/25 14:59,"",https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.clubforgrowth.org/wp-content/uploads/2025/01/CFG_GA-Senate_General_Baseline_MQ_V2.pdf,,"",,REP,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Ossoff,37817,Jon Ossoff,40.0
89490,1418,WPAi,1072,Club For Growth Action,WPA Intelligence,383,WPA Intelligence,1.7,-0.1,,3.0,Georgia,1/14/25,1/15/25,,"",,,,,217588,500,lv,,lv,,1/16/25 14:59,"",https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.clubforgrowth.org/wp-content/uploads/2025/01/CFG_GA-Senate_General_Baseline_MQ_V2.pdf,,"",,REP,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Kemp,37818,Brian Kemp,46.0
89490,1418,WPAi,1072,Club For Growth Action,WPA Intelligence,383,WPA Intelligence,1.7,-0.1,,3.0,Georgia,1/14/25,1/15/25,,"",,,,,217589,500,lv,,lv,,1/16/25 15:00,"",https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.clubforgrowth.org/wp-content/uploads/2025/01/CFG_GA-Senate_General_Baseline_MQ_V2.pdf,,"",,REP,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Ossoff,37817,Jon Ossoff,45.0
89490,1418,WPAi,1072,Club For Growth Action,WPA Intelligence,383,WPA Intelligence,1.7,-0.1,,3.0,Georgia,1/14/25,1/15/25,,"",,,,,217589,500,lv,,lv,,1/16/25 15:00,"",https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,https://www.clubforgrowth.org/wp-content/uploads/2025/01/CFG_GA-Senate_General_Baseline_MQ_V2.pdf,,"",,REP,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Carter,37819,"Earl L. ""Buddy"" Carter",32.0
